age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id,counterfactual_found
57,management,married,secondary,no,82,no,yes,telephone,4,feb,964,1,-1,0,unknown,56,1
28,blue-collar,single,tertiary,yes,2445,no,no,cellular,20,jul,396,1,0,0,unknown,57,1
32,retired,married,primary,no,91,no,no,cellular,30,sep,353,1,0,0,other,58,1
54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,895,1,-1,0,unknown,59,1
41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,913,3,-1,0,unknown,60,1
63,retired,married,secondary,no,415,yes,no,cellular,7,oct,591,1,-1,0,unknown,61,1
48,management,married,tertiary,no,5887,no,no,cellular,13,aug,967,2,-1,0,unknown,62,1
48,services,married,secondary,no,1355,no,no,cellular,4,jul,510,2,-1,0,unknown,63,1
33,services,married,unknown,yes,12324,yes,no,telephone,3,mar,397,1,0,0,success,64,1
63,housemaid,single,tertiary,yes,185,no,no,cellular,7,jun,279,1,233,4,unknown,65,1
23,services,married,secondary,no,338,yes,no,cellular,28,jan,622,1,-1,0,unknown,66,1
24,technician,married,secondary,no,444,yes,no,cellular,21,jul,666,4,-1,0,unknown,67,1
41,management,married,secondary,no,0,no,yes,cellular,7,jul,1027,3,-1,0,unknown,68,1
30,student,married,tertiary,yes,492,no,no,telephone,16,nov,416,2,-1,0,unknown,69,1
37,management,married,tertiary,no,0,no,yes,cellular,16,jul,268,2,182,3,success,70,1
42,entrepreneur,divorced,tertiary,yes,2,yes,no,telephone,5,aug,380,1,-1,0,unknown,71,1
34,technician,single,secondary,no,5791,no,yes,telephone,9,dec,3025,2,-1,0,unknown,72,1
38,housemaid,married,primary,yes,353,yes,no,cellular,1,mar,3025,5,0,0,failure,73,1
45,management,single,unknown,yes,266,no,no,unknown,15,may,3025,1,0,0,failure,74,1
54,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,618,2,-1,0,unknown,75,1
47,blue-collar,single,secondary,yes,174,yes,no,cellular,12,may,3025,1,321,0,other,76,1
19,housemaid,divorced,secondary,no,652,no,no,cellular,14,sep,328,3,0,0,other,77,1
50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,1689,1,-1,0,unknown,78,1
33,admin.,married,primary,no,201,no,yes,telephone,19,may,437,2,224,1,success,79,1
28,housemaid,divorced,secondary,no,451,yes,no,cellular,16,jul,2238,1,-1,0,unknown,80,1
60,retired,married,primary,no,5,no,no,cellular,26,aug,526,2,-1,0,unknown,81,1
40,blue-collar,married,tertiary,no,178,yes,no,telephone,4,apr,479,1,0,0,unknown,82,1
52,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,success,83,1
31,student,divorced,secondary,yes,1994,yes,no,cellular,21,nov,387,1,0,0,success,84,1
51,blue-collar,married,primary,yes,1242,yes,no,telephone,7,may,3025,1,-1,0,unknown,85,1
41,technician,single,secondary,no,879,no,yes,cellular,7,jul,939,4,-1,0,unknown,86,1
23,management,single,primary,yes,293,no,no,unknown,31,aug,369,1,0,0,other,87,1
38,admin.,married,secondary,no,424,yes,no,cellular,17,apr,813,1,-1,0,unknown,88,1
34,blue-collar,married,secondary,yes,1831,yes,no,cellular,16,may,405,2,0,0,unknown,89,1
39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,741,2,-1,0,unknown,90,1
28,retired,single,primary,no,419,no,no,unknown,20,jun,785,1,-1,0,unknown,91,1
31,blue-collar,single,primary,no,-178,no,no,telephone,16,jun,685,1,0,0,other,92,1
32,management,single,tertiary,yes,3616,no,no,cellular,14,aug,244,1,0,0,unknown,93,1
57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,1081,5,-1,0,unknown,94,1
47,unknown,divorced,tertiary,no,1533,no,no,cellular,1,oct,388,2,0,0,success,95,1
41,admin.,married,tertiary,yes,5426,no,no,cellular,14,may,3025,2,-1,0,unknown,96,1
29,services,divorced,tertiary,yes,351,no,yes,unknown,21,oct,1020,1,112,21,success,97,1
36,services,married,primary,yes,2275,no,no,cellular,10,feb,608,1,176,0,failure,98,1
31,unemployed,single,primary,no,406,no,no,cellular,4,apr,828,1,-1,0,unknown,99,1
