age,workclass,education,marital-status,occupation,race,sex,hours-per-week
52, Private, Bachelors, Married-civ-spouse, Other-service, White, Male,40
46, Private, HS-grad, Married-civ-spouse, Other-service, White, Female,40
59, Private, HS-grad, Married-civ-spouse, Sales, White, Male,48
44, Private, HS-grad, Divorced, Craft-repair, White, Female,40
53, Private, HS-grad, Divorced, Sales, White, Female,35
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, White, Male,40
33, Private, Masters, Married-civ-spouse, Prof-specialty, White, Male,50
30, Private, 9th, Never-married, Sales, White, Male,40
43, Federal-gov, Doctorate, Never-married, Prof-specialty, White, Female,50
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male,40
37, Private, Some-college, Divorced, Craft-repair, White, Female,40
28, Private, Some-college, Divorced, Machine-op-inspct, Black, Female,25
30, Private, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female,35
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White, Male,40
29, Local-gov, Some-college, Never-married, Handlers-cleaners, White, Male,50
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,60
37, Private, Some-college, Married-civ-spouse, Sales, White, Male,48
48, Private, Assoc-acdm, Divorced, Exec-managerial, White, Female,40
32, Federal-gov, HS-grad, Never-married, Other-service, Black, Male,40
76, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male,40
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,60
47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, White, Female,50
20, Private, Some-college, Never-married, Tech-support, White, Female,40
