age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
90, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, Iran
90, Federal-gov,118853, Bachelors,8, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,60, England
59, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, Nicaragua
90, Private,175374, Some-college,11, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,24, United-States
44, Private,128354, Masters,14, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
77, Without-pay,220647, 9th,10, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,30, Jamaica
72, Private,56795, Masters,14, Widowed, Tech-support, Own-child, White, Female,14084,0,49, United-States
90, Self-emp-not-inc,335605, Masters,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,73, France
48, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States
90, Self-emp-not-inc,147029, Some-college,5, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,72, Laos
90, Local-gov,544091, HS-grad,9, Married-AF-spouse, Prof-specialty, Wife, Other, Male,0,0,25, United-States
90, Private,680975, Some-college,10, Never-married, Craft-repair, Own-child, Black, Male,0,0,55, United-States
53, Self-emp-not-inc,88506, Bachelors,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
51, Without-pay,84080, Bachelors,1, Widowed, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Male,0,0,1, Dominican-Republic
90, Private,69031, Masters,5, Married-spouse-absent, Other-service, Other-relative, Asian-Pac-Islander, Male,0,0,44, Cuba
90, Federal-gov,184936, Some-college,15, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,33, United-States
90, Self-emp-not-inc,66830, 1st-4th,10, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,83, Trinadad&Tobago
54, Federal-gov,235485, Assoc-acdm,12, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,42, United-States
90, Private,301606, Some-college,10, Never-married, Sales, Wife, Black, Male,0,0,35, United-States
90, Private,213921, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Mexico
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States
62, Private,222440, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States
90, Private,200304, HS-grad,9, Married-civ-spouse, Sales, Own-child, White, Male,0,0,42, United-States
72, State-gov,194324, 1st-4th,8, Married-AF-spouse, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Male,0,2547,42, Scotland
90, Self-emp-inc,72584, Masters,9, Married-civ-spouse, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Peru
36, Self-emp-inc,317660, 10th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,36, United-States
51, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
90, Private,146195, Assoc-acdm,9, Married-civ-spouse, Armed-Forces, Wife, Black, Female,0,0,30, Nicaragua
82, Self-emp-not-inc,132311, 9th,11, Married-civ-spouse, Tech-support, Own-child, Other, Male,0,0,62, Thailand
47, Private,287828, Bachelors,13, Separated, Exec-managerial, Wife, White, Female,0,0,40, United-States
52, Private,208358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
90, Private,128757, Bachelors,10, Married-civ-spouse, Priv-house-serv, Husband, Black, Male,7298,0,36, United-States
38, Private,65324, Prof-school,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Vietnam
77, Private,167832, 12th,16, Never-married, Craft-repair, Other-relative, White, Female,0,0,48, Japan
71, State-gov,311512, 1st-4th,10, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,15, United-States
90, Private,191475, 10th,8, Never-married, Priv-house-serv, Wife, Asian-Pac-Islander, Female,0,0,41, Portugal
90, State-gov,75080, HS-grad,4, Married-spouse-absent, Transport-moving, Own-child, Other, Male,0,1513,35, Cambodia
74, State-gov,262365, Prof-school,5, Separated, Sales, Wife, White, Male,0,1767,31, Laos
90, Private,146548, HS-grad,7, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,42, United-States
90, Federal-gov,44772, Preschool,4, Married-civ-spouse, Other-service, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States
90, Self-emp-not-inc,28184, Assoc-voc,8, Never-married, Tech-support, Wife, White, Male,0,0,17, Mexico
90, Private,416985, Some-college,10, Never-married, Adm-clerical, Wife, White, Male,4043,0,25, Dominican-Republic
90, State-gov,306564, 10th,9, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,43, United-States
90, State-gov,501332, Preschool,13, Married-AF-spouse, Sales, Husband, Other, Male,0,2113,1, United-States
35, Private,138992, Masters,14, Widowed, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States
58, Private,120939, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States
90, Self-emp-not-inc,84316, Preschool,11, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,34, Germany
90, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States
90, Local-gov,95647, 9th,5, Married-civ-spouse, Other-service, Unmarried, Other, Male,0,0,42, United-States
90, Local-gov,271808, 7th-8th,12, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,43, Haiti
90, State-gov,130410, 11th,4, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States
90, Private,174432, 11th,13, Never-married, Transport-moving, Own-child, Black, Male,0,0,50, United-States
90, State-gov,197200, Preschool,10, Married-AF-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
88, Self-emp-not-inc,29836, Assoc-acdm,3, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,2547,47, India
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Thailand
32, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States
90, Local-gov,103007, Preschool,8, Married-spouse-absent, Protective-serv, Wife, White, Male,0,0,24, Germany
90, Federal-gov,242406, 11th,7, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Puerto-Rico
43, Federal-gov,410867, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States
90, Private,30903, Preschool,14, Widowed, Prof-specialty, Own-child, Asian-Pac-Islander, Female,14084,0,57, Poland
37, Private,284582, Masters,14, Separated, Exec-managerial, Wife, White, Female,0,0,40, United-States
90, Without-pay,309634, 9th,9, Married-spouse-absent, Exec-managerial, Wife, White, Male,0,0,22, Iran
80, Private,197412, HS-grad,4, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,51, Mexico
90, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Wife, Other, Male,0,0,32, United-States
