age,workclass,education,marital-status,occupation,race,sex,hours-per-week
60, State-gov, 9th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male,69
43, Private, Assoc-voc, Never-married, Other-service, White, Male,40
41, Private, HS-grad, Married-AF-spouse, Adm-clerical, White, Male,55
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40
34, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40
48, Private, HS-grad, Divorced, Tech-support, White, Male,40
42, Private, Doctorate, Widowed, Priv-house-serv, White, Male,45
29, Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male,58
49, Self-emp-not-inc, Doctorate, Married-spouse-absent, Craft-repair, Amer-Indian-Eskimo, Male,36
50, Self-emp-inc, Bachelors, Married-AF-spouse, Craft-repair, Amer-Indian-Eskimo, Female,34
53, Private, HS-grad, Divorced, Adm-clerical, White, Female,40
49, Self-emp-inc, Some-college, Never-married, Exec-managerial, White, Male,50
59, Private, Doctorate, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male,25
38, Private, Bachelors, Married-spouse-absent, Sales, Black, Female,47
29, Self-emp-not-inc, Bachelors, Separated, Craft-repair, White, Male,70
68, Without-pay, Masters, Married-civ-spouse, Machine-op-inspct, Black, Male,38
79, Without-pay, Prof-school, Married-civ-spouse, Prof-specialty, Amer-Indian-Eskimo, Male,21
56, Private, HS-grad, Married-civ-spouse, Other-service, White, Male,40
40, Private, Preschool, Married-civ-spouse, Adm-clerical, White, Male,40
39, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Other, Female,27
44, Local-gov, 7th-8th, Married-AF-spouse, Farming-fishing, White, Male,48
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,33
52, Private, 1st-4th, Married-civ-spouse, Other-service, White, Male,40
46, Private, HS-grad, Separated, Other-service, White, Female,40
59, Private, HS-grad, Never-married, Protective-serv, White, Male,48
44, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female,40
53, Private, HS-grad, Married-civ-spouse, Sales, White, Female,35
49, Local-gov, HS-grad, Never-married, Other-service, White, Male,40
33, Private, Masters, Divorced, Machine-op-inspct, White, Male,50
45, Private, 9th, Married-spouse-absent, Sales, White, Male,48
43, Federal-gov, Doctorate, Married-AF-spouse, Prof-specialty, White, Female,50
57, Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male,40
37, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Other, Female,43
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Black, Female,25
33, Without-pay, Assoc-acdm, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female,35
41, Local-gov, Bachelors, Never-married, Protective-serv, White, Male,40
61, Local-gov, Some-college, Married-AF-spouse, Handlers-cleaners, White, Male,50
48, Self-emp-not-inc, Doctorate, Widowed, Adm-clerical, White, Male,60
37, Private, Some-college, Married-civ-spouse, Armed-Forces, White, Male,48
48, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Female,40
56, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Black, Male,40
90, Federal-gov, Masters, Married-AF-spouse, Exec-managerial, Amer-Indian-Eskimo, Male,48
44, Private, Bachelors, Divorced, Exec-managerial, White, Male,60
47, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, White, Female,50
43, State-gov, 9th, Married-civ-spouse, Armed-Forces, Asian-Pac-Islander, Female,41
