sample_id,data_index,original_prediction,counterfactual_prediction,distance,steps,original_age,counterfactual_age,original_workclass,counterfactual_workclass,original_fnlwgt,counterfactual_fnlwgt,original_education,counterfactual_education,original_education-num,counterfactual_education-num,original_marital-status,counterfactual_marital-status,original_occupation,counterfactual_occupation,original_relationship,counterfactual_relationship,original_race,counterfactual_race,original_sex,counterfactual_sex,original_capital-gain,counterfactual_capital-gain,original_capital-loss,counterfactual_capital-loss,original_hours-per-week,counterfactual_hours-per-week,original_native-country,counterfactual_native-country
56,795,0,0,20155.0,100,33,76, Private, State-gov,80945,101036, HS-grad, Masters,9,8, Married-civ-spouse, Widowed, Machine-op-inspct, Other-service, Husband, Not-in-family, White, Asian-Pac-Islander, Male, Female,0,0,0,0,40,52, United-States, China
57,3209,0,0,14747.0,100,18,84, Private, Self-emp-not-inc,131033,116362, 11th, Doctorate,7,5, Never-married, Married-civ-spouse, Other-service, Exec-managerial, Other-relative, Husband, Black, Black, Male, Female,0,0,0,0,15,13, United-States, United-States
58,185,0,1,6764.0,82,24,90, Self-emp-not-inc, Local-gov,32921,26231, HS-grad, HS-grad,9,9, Never-married, Never-married, Sales, Handlers-cleaners, Not-in-family, Husband, White, Other, Male, Male,0,0,0,0,40,43, United-States, Columbia
59,3334,0,0,13013.0,100,76,76, Private, Local-gov,316185,329191, 7th-8th, 7th-8th,4,3, Widowed, Never-married, Protective-serv, Prof-specialty, Not-in-family, Other-relative, White, Black, Female, Female,0,0,0,0,12,12, United-States, Nicaragua
60,3631,0,1,9.0,2,42,42, Private, Private,310632,310632, Some-college, Some-college,10,12, Married-civ-spouse, Married-civ-spouse, Craft-repair, Craft-repair, Husband, Husband, Black, Black, Male, Male,0,0,0,0,40,47, United-States, United-States
61,703,1,0,30.0,4,53,80, Self-emp-inc, Self-emp-inc,128272,128272, Doctorate, Doctorate,16,13, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Husband, Husband, White, White, Male, Male,0,0,0,0,70,70, United-States, United-States
62,565,0,1,29.0,3,39,68, Private, Private,207824,207824, HS-grad, HS-grad,9,9, Never-married, Never-married, Handlers-cleaners, Handlers-cleaners, Own-child, Own-child, White, White, Male, Male,0,0,0,0,60,60, United-States, United-States
63,179,1,0,14.0,59,47,50, Private, Private,120939,120939, Some-college, 10th,10,10, Married-civ-spouse, Married-civ-spouse, Tech-support, Armed-Forces, Husband, Husband, White, White, Male, Male,0,0,0,0,45,54, United-States, United-States
64,892,0,1,38.0,68,48,78, Private, Self-emp-not-inc,164966,164966, Bachelors, Bachelors,13,13, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Husband, Husband, Asian-Pac-Islander, Black, Male, Male,0,0,0,0,40,35, India, Outlying-US(Guam-USVI-etc)
65,3635,0,1,22.0,5,30,52, Private, Private,207253,207253, Assoc-voc, Assoc-voc,11,11, Married-civ-spouse, Married-civ-spouse, Craft-repair, Craft-repair, Husband, Husband, White, White, Male, Male,0,0,0,0,40,40, England, England
66,2877,1,0,42.0,6,45,75, Private, Private,67716,67716, HS-grad, HS-grad,9,7, Never-married, Never-married, Craft-repair, Craft-repair, Own-child, Own-child, White, White, Male, Male,10520,10520,0,0,48,58, United-States, United-States
67,2273,1,0,26.0,4,50,64, Federal-gov, Federal-gov,20179,20179, Masters, Masters,14,11, Married-civ-spouse, Married-civ-spouse, Tech-support, Tech-support, Husband, Husband, White, White, Male, Male,0,0,0,0,40,49, United-States, United-States
68,1658,0,1,25.0,4,41,57, Private, Private,107306,107306, HS-grad, HS-grad,9,9, Never-married, Never-married, Exec-managerial, Exec-managerial, Not-in-family, Not-in-family, White, White, Male, Male,2174,2174,0,0,40,48, United-States, Germany
69,3660,0,0,25748.0,100,19,90, State-gov, State-gov,73009,47339, Some-college, Masters,10,10, Never-married, Divorced, Adm-clerical, Other-service, Own-child, Wife, White, Black, Male, Male,0,0,0,0,15,14, United-States, Philippines
70,912,1,0,243.0,61,46,90, Private, Private,187370,187370, Bachelors, Bachelors,13,11, Never-married, Married-civ-spouse, Sales, Sales, Not-in-family, Own-child, White, White, Male, Female,0,0,1504,1681,40,56, United-States, Ireland
71,1023,1,0,43.0,6,35,78, Self-emp-inc, Self-emp-inc,289430,289430, Masters, Masters,14,14, Married-civ-spouse, Married-civ-spouse, Sales, Sales, Husband, Husband, White, White, Male, Male,0,0,0,0,45,45, Mexico, Mexico
72,1349,1,0,2.0,2,61,61, Private, Without-pay,120939,120939, Prof-school, Prof-school,15,15, Married-civ-spouse, Married-AF-spouse, Transport-moving, Transport-moving, Husband, Husband, White, White, Male, Male,0,0,0,0,5,5, United-States, United-States
73,205,0,1,22.0,5,31,50, Private, Private,197860,197860, Some-college, Some-college,10,10, Married-civ-spouse, Married-civ-spouse, Handlers-cleaners, Handlers-cleaners, Husband, Husband, White, White, Male, Male,0,0,0,0,40,43, United-States, United-States
74,4,0,1,21.0,5,28,48, Private, Private,338409,338409, Bachelors, Bachelors,13,13, Married-civ-spouse, Married-civ-spouse, Prof-specialty, Prof-specialty, Wife, Wife, Black, Black, Female, Male,0,0,0,0,40,40, Cuba, Cuba
75,442,0,0,62944.0,100,27,83, Private, Private,161155,224029, 10th, Assoc-acdm,6,4, Never-married, Widowed, Other-service, Other-service, Not-in-family, Not-in-family, White, Other, Male, Male,0,0,0,0,40,32, United-States, Haiti
76,3438,0,1,29249.0,61,30,90, Private, Private,173647,144468, Some-college, Some-college,10,12, Divorced, Divorced, Transport-moving, Transport-moving, Not-in-family, Unmarried, White, White, Male, Male,0,0,0,0,40,47, United-States, United-States
77,3578,0,0,24064.0,100,29,80, Local-gov, Without-pay,95393,119397, HS-grad, 1st-4th,9,7, Never-married, Never-married, Other-service, Farming-fishing, Own-child, Unmarried, White, White, Male, Male,0,0,0,0,20,17, United-States, United-States
78,3617,0,1,45179.0,98,63,78, Local-gov, Private,109849,154991, Bachelors, Masters,13,9, Never-married, Married-spouse-absent, Prof-specialty, Machine-op-inspct, Not-in-family, Unmarried, Black, Asian-Pac-Islander, Female, Female,0,0,0,0,21,32, United-States, India
79,3515,0,1,6068.0,68,21,75, Private, Local-gov,190761,196756, 10th, Some-college,6,6, Married-civ-spouse, Married-civ-spouse, Farming-fishing, Farming-fishing, Husband, Husband, White, White, Male, Male,0,0,0,0,70,86, United-States, South
80,1572,1,0,2.0,1,38,38, Private, Private,156728,156728, Bachelors, Bachelors,13,11, Married-civ-spouse, Married-civ-spouse, Sales, Sales, Husband, Husband, White, White, Male, Male,0,0,0,0,40,40, United-States, United-States
81,2360,1,0,38.0,7,56,79, Self-emp-inc, Self-emp-inc,105582,105582, Some-college, Some-college,10,8, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Husband, Husband, White, White, Male, Male,7688,7688,0,0,50,63, United-States, United-States
82,3558,0,0,10311.0,100,30,90, Private, Self-emp-not-inc,23778,34013, 7th-8th, 7th-8th,4,3, Separated, Widowed, Handlers-cleaners, Sales, Not-in-family, Not-in-family, White, Other, Male, Female,0,0,0,0,40,49, United-States, Peru
83,2146,1,0,35133.0,96,53,90, Federal-gov, Self-emp-inc,173093,138681, Some-college, Assoc-voc,10,5, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Wife, Own-child, Asian-Pac-Islander, Asian-Pac-Islander, Female, Female,0,0,1887,2547,40,55, Philippines, Germany
84,2182,0,1,2.0,1,57,57, Private, Private,205708,205708, Some-college, Some-college,10,10, Married-civ-spouse, Married-civ-spouse, Craft-repair, Craft-repair, Husband, Husband, White, White, Male, Male,0,0,0,0,40,42, Poland, Poland
85,2736,1,0,19313.0,6,37,71, Private, Private,98941,79662, Masters, Masters,14,14, Never-married, Never-married, Exec-managerial, Exec-managerial, Not-in-family, Not-in-family, White, White, Male, Male,0,0,0,0,40,40, United-States, United-States
86,3473,0,0,79303.0,100,66,90, Self-emp-not-inc, Self-emp-inc,212456,133199, HS-grad, 5th-6th,9,6, Widowed, Divorced, Craft-repair, Farming-fishing, Not-in-family, Husband, White, Black, Male, Female,0,0,0,0,20,31, United-States, Peru
87,2821,1,1,139485.0,100,35,90, Private, Private,376455,515670, Some-college, 12th,10,11, Married-civ-spouse, Divorced, Exec-managerial, Farming-fishing, Husband, Not-in-family, White, White, Male, Male,15024,15228,0,0,60,65, United-States, Japan
88,2292,0,1,43363.0,88,26,90, Private, Private,181666,138381, HS-grad, Doctorate,9,9, Never-married, Married-spouse-absent, Handlers-cleaners, Armed-Forces, Own-child, Husband, White, Black, Female, Male,0,0,0,0,40,47, United-States, England
89,2350,0,1,1.0,1,58,58, State-gov, Self-emp-inc,110517,110517, Doctorate, Doctorate,16,16, Married-civ-spouse, Married-civ-spouse, Prof-specialty, Prof-specialty, Husband, Husband, Asian-Pac-Islander, Asian-Pac-Islander, Male, Male,4064,4064,0,0,40,40, India, India
90,2927,1,0,1.0,1,35,35, Private, Private,261382,261382, Bachelors, Bachelors,13,13, Married-civ-spouse, Married-AF-spouse, Sales, Sales, Husband, Husband, White, White, Male, Male,0,0,0,0,50,50, United-States, United-States
91,553,0,0,8014.0,100,42,63, Local-gov, Self-emp-inc,175674,167697, 9th, 5th-6th,5,1, Married-civ-spouse, Married-spouse-absent, Other-service, Adm-clerical, Husband, Husband, White, Other, Male, Male,0,0,0,0,40,46, United-States, Philippines
92,1748,0,0,13922.0,100,65,66, Without-pay, Self-emp-not-inc,27012,40921, 7th-8th, 7th-8th,4,4, Widowed, Married-AF-spouse, Farming-fishing, Armed-Forces, Unmarried, Unmarried, White, Amer-Indian-Eskimo, Female, Female,0,0,0,0,50,57, United-States, Honduras
93,1194,0,1,80.0,55,22,90, Private, Private,58222,58222, HS-grad, HS-grad,9,8, Married-civ-spouse, Married-civ-spouse, Craft-repair, Craft-repair, Husband, Own-child, White, Other, Male, Male,0,0,0,0,40,49, United-States, United-States
94,1680,0,1,17807.0,80,19,90, Private, Self-emp-inc,286469,268744, Some-college, 7th-8th,10,10, Never-married, Married-civ-spouse, Sales, Priv-house-serv, Own-child, Wife, White, White, Female, Female,0,0,0,0,30,36, United-States, United-States
95,1536,0,1,20741.0,89,20,89, Private, Without-pay,180052,159393, Some-college, Doctorate,10,13, Never-married, Married-civ-spouse, Sales, Other-service, Own-child, Own-child, White, Asian-Pac-Islander, Male, Male,0,0,0,0,20,24, United-States, Taiwan
96,1596,0,0,1767.0,100,21,25, Private, Federal-gov,32616,33996, HS-grad, 11th,9,4, Never-married, Widowed, Other-service, Adm-clerical, Not-in-family, Husband, White, Black, Female, Male,0,0,1719,1352,16,13, United-States, Italy
97,3159,1,0,27.0,5,53,70, Private, Private,154785,154785, HS-grad, HS-grad,9,7, Married-civ-spouse, Married-civ-spouse, Craft-repair, Craft-repair, Husband, Husband, White, White, Male, Male,0,0,0,0,50,58, United-States, United-States
98,2766,1,0,25.0,6,42,65, Private, Private,194636,194636, Bachelors, Bachelors,13,11, Married-civ-spouse, Married-civ-spouse, Prof-specialty, Prof-specialty, Husband, Husband, White, White, Male, Male,0,0,0,0,45,45, United-States, United-States
99,954,0,1,72.0,84,37,90, Private, Self-emp-not-inc,123785,123785, HS-grad, Preschool,9,6, Never-married, Married-spouse-absent, Other-service, Adm-clerical, Not-in-family, Not-in-family, White, White, Male, Female,0,0,0,0,75,85, United-States, China
