orig_age,orig_workclass,orig_fnlwgt,orig_education,orig_education-num,orig_marital-status,orig_occupation,orig_relationship,orig_race,orig_sex,orig_capital-gain,orig_capital-loss,orig_hours-per-week,orig_native-country,orig_income,cf_age,cf_workclass,cf_fnlwgt,cf_education,cf_education-num,cf_marital-status,cf_occupation,cf_relationship,cf_race,cf_sex,cf_capital-gain,cf_capital-loss,cf_hours-per-week,cf_native-country,cf_income,distance
40, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40,, >50K,60, State-gov,120890, 9th,13, Married-AF-spouse, Protective-serv, Other-relative, Asian-Pac-Islander, Female,1520,140,21, United-States, <=50K,1038.0
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K,87, Federal-gov,252918, Masters,7, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Male,16630,1705,35, Yugoslavia, <=50K,10336.400000000001
25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K,87, Federal-gov,172055, 9th,14, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Male,14965,2521,93, Portugal, >50K,8929.6
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K,55, State-gov,205228, 10th,7, Married-civ-spouse,nan, Wife, White, Female,22502,2038,49, Philippines, >50K,17196.0
38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K,87, Private,26248, Prof-school,9, Widowed, Tech-support, Wife, White, Female,3813,485,40, Ireland, >50K,2803.4
43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, >50K,63, Local-gov,271650, Masters,9, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,2658,358,100, Yugoslavia, <=50K,9453.199999999999
40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K,40, Federal-gov,188889, Doctorate,2, Married-spouse-absent, Tech-support, Not-in-family, Asian-Pac-Islander, Female,2820,1717,50, Germany, >50K,3682.6
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K,86, Local-gov,271621, Masters,10, Married-civ-spouse, Other-service, Unmarried, Black, Male,7798,2070,79,nan, >50K,16197.6
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K,88, Self-emp-inc,72924, HS-grad,3, Married-AF-spouse, Priv-house-serv, Unmarried, Other, Male,25921,272,64, Portugal, <=50K,12081.400000000001
43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States, <=50K,65, Federal-gov,136875, Preschool,7, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,19227,548,68, Ireland, <=50K,16247.800000000001
59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K,82, State-gov,122872, Preschool,9, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,30666,2518,8, Thailand, <=50K,18843.2
56, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K,25, Local-gov,215804, HS-grad,3, Married-AF-spouse, Adm-clerical, Not-in-family, Other, Male,3159,2529,27, Greece, >50K,2719.2000000000003
19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K,77, Federal-gov,136601, Bachelors,5, Married-civ-spouse, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,4931,71,53, Ireland, <=50K,14712.8
54,,180211, Some-college,10, Married-civ-spouse,, Husband, Asian-Pac-Islander, Male,0,0,60, South, >50K,50, State-gov,173989, HS-grad,10, Married-AF-spouse, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,1357,354,81,nan, <=50K,3188.0000000000005
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States, <=50K,83, Self-emp-inc,386703, Assoc-voc,9, Never-married, Craft-repair, Wife, White, Male,1621,2322,55, Mexico, <=50K,9385.6
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,90, Without-pay,190262, 7th-8th,14, Married-AF-spouse, Craft-repair, Other-relative, Black, Male,3364,2462,62, Ireland, >50K,3603.4
23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States, <=50K,88, Self-emp-not-inc,185224, Assoc-voc,9, Never-married, Other-service, Not-in-family, Black, Female,15292,1286,57, Jamaica, >50K,8858.6
20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States, <=50K,84, Self-emp-inc,264050, 9th,7, Separated, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,42353,2496,39, Poland, <=50K,18759.2
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States, <=50K,82, Self-emp-not-inc,417744, Bachelors,9, Married-spouse-absent, Handlers-cleaners, Husband, Other, Female,11496,525,51, Taiwan, >50K,17298.8
30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K,75, Local-gov,61443, Bachelors,8, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,91830,1092,10, Scotland, >50K,37800.6
22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K,82, Federal-gov,323271, Preschool,9, Married-spouse-absent, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,29457,1212,98, Yugoslavia, <=50K,17033.0
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K,83, Self-emp-not-inc,254107, Assoc-voc,6, Married-spouse-absent, Farming-fishing, Not-in-family, Black, Male,4083,1102,8, Scotland, <=50K,6785.8
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K,83, Private,168239, Preschool,5, Never-married, Machine-op-inspct, Own-child, White, Male,769,490,46, Philippines, <=50K,12118.400000000001
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K,81,nan,572123, Bachelors,8, Married-civ-spouse, Craft-repair, Husband, White, Male,16015,1269,70, India, >50K,18174.4
31, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38,, >50K,90, Self-emp-inc,89988, 9th,8, Married-AF-spouse, Machine-op-inspct, Other-relative, Black, Male,13731,1602,86, Yugoslavia, >50K,8514.6
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,77, Self-emp-not-inc,265200, 1st-4th,11, Divorced, Other-service, Unmarried, White, Male,944,2153,64, Italy, <=50K,1374.2
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K,62, Federal-gov,501948, Prof-school,8, Never-married, Exec-managerial, Not-in-family, Other, Male,49458,1839,62, Mexico, >50K,22915.600000000002
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,51, Without-pay,90804, Masters,14, Never-married, Prof-specialty, Wife, White, Female,3013,1874,82, Mexico, <=50K,2895.6
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K,80, Federal-gov,168980, HS-grad,3, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,2346,2372,38, Scotland, >50K,3525.4
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K,76, Federal-gov,88724, Prof-school,9, Married-AF-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,6611,1599,44, Mexico, <=50K,5666.8
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K,89, State-gov,325839, 1st-4th,9, Married-spouse-absent, Machine-op-inspct, Unmarried, Other, Male,387,761,39, Japan, <=50K,14834.2
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K,65,nan,333305, HS-grad,13, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,2018,1171,55, Columbia, >50K,3125.0
53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K,88, Private,170164, Assoc-acdm,14, Married-spouse-absent, Adm-clerical, Own-child, Black, Male,11846,853,67, India, >50K,15432.600000000002
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K,79, Self-emp-inc,121917, 7th-8th,9, Never-married, Handlers-cleaners, Wife, Other, Male,3772,467,34, Puerto-Rico, >50K,4294.2
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,80, Federal-gov,124094, Bachelors,9, Never-married, Protective-serv, Wife, White, Female,3762,1870,45, Greece, <=50K,11271.800000000001
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K,73, Private,225664, Doctorate,8, Married-spouse-absent, Adm-clerical, Husband, Black, Female,2104,877,42, Hong, >50K,19537.2
25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States, <=50K,81, Private,43896, HS-grad,6, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,54168,2201,52, Vietnam, <=50K,27228.4
18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30,, <=50K,84, Self-emp-inc,259329, Prof-school,4, Married-AF-spouse, Handlers-cleaners, Wife, White, Male,15779,2033,65, Thailand, <=50K,20120.600000000002
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K,44, Federal-gov,47224, HS-grad,5, Never-married, Craft-repair, Wife, Black, Female,1361,2052,48,nan, <=50K,2463.0
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K,41, Without-pay,249718, 12th,6, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,1007,2489,65, Outlying-US(Guam-USVI-etc), <=50K,2160.4
47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K,91, Federal-gov,132092, Masters,4, Married-spouse-absent, Machine-op-inspct, Other-relative, Black, Male,29487,1935,40, Portugal, <=50K,21504.600000000002
43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K,48, Federal-gov,241248, Assoc-acdm,8, Married-AF-spouse, Prof-specialty, Husband, Black, Male,36100,583,75, Laos, <=50K,15996.2
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K,84, Private,217818, Assoc-voc,14, Married-civ-spouse, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,14669,36,83, Scotland, >50K,6383.200000000001
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K,87, Self-emp-not-inc,52276, 11th,2, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,10155,2376,63, Scotland, >50K,6681.200000000001
41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K,58, Local-gov,145636, Bachelors,13, Married-spouse-absent, Adm-clerical, Other-relative, Black, Female,2505,841,47, Canada, <=50K,2045.8000000000002
30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K,74,nan,183260, Preschool,3, Never-married, Transport-moving, Other-relative, Other, Male,8472,1230,66, Cambodia, >50K,3865.2000000000003
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States, <=50K,49, State-gov,62795, Some-college,8, Never-married, Armed-Forces, Husband, Asian-Pac-Islander, Female,1182,2513,36, Scotland, >50K,2830.8
32,,293936, 7th-8th,4, Married-spouse-absent,, Not-in-family, White, Male,0,0,40,, <=50K,62, Local-gov,308117, Assoc-voc,7, Married-civ-spouse, Adm-clerical, Wife, Black, Male,37442,274,17, Outlying-US(Guam-USVI-etc), >50K,20786.0
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K,65, Federal-gov,182110, Preschool,4, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,6498,2039,41, Japan, >50K,16416.8
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K,56, State-gov,117792, Prof-school,7, Divorced, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,4762,1426,21, Mexico, >50K,2962.8
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K,88, Local-gov,90692, HS-grad,9, Married-spouse-absent, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,472,50,52, England, >50K,6203.0
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,85, Local-gov,161140, Prof-school,7, Married-spouse-absent, Priv-house-serv, Husband, Asian-Pac-Islander, Male,13599,14,23, Ireland, <=50K,7717.200000000001
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,88, Federal-gov,194421, Masters,9, Married-spouse-absent, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,9369,1940,97, Taiwan, >50K,9074.6
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K,68, Without-pay,171163, HS-grad,4, Married-spouse-absent, Craft-repair, Husband, Other, Male,2834,1704,68, Germany, <=50K,2366.0000000000005
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K,62, Self-emp-inc,192529, 10th,17, Married-AF-spouse, Craft-repair, Wife, Black, Female,2908,1586,50, India, <=50K,2149.6000000000004
25,,200681, Some-college,10, Never-married,, Own-child, White, Male,0,0,40, United-States, <=50K,73, Private,240639, Bachelors,9, Married-AF-spouse, Tech-support, Not-in-family, White, Male,6478,382,20, China, >50K,18759.0
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K,83, Federal-gov,122908, Bachelors,9, Married-AF-spouse, Tech-support, Wife, Black, Female,14048,2075,2, South, <=50K,15051.6
31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K,89, Self-emp-inc,316499, Assoc-acdm,15, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male,21155,394,62, Dominican-Republic, <=50K,11266.600000000002
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K,88, Local-gov,184012, 9th,14, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,49317,505,60, Vietnam, <=50K,28646.600000000002
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K,79, State-gov,212198, 10th,9, Married-spouse-absent, Machine-op-inspct, Not-in-family, Black, Male,5049,1362,79, Thailand, <=50K,2813.8
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K,52, Self-emp-not-inc,111776, 11th,5, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,14687,2237,31, Vietnam, <=50K,11978.2
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K,60, Self-emp-inc,210939, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Male,3022,1850,69,nan, <=50K,3170.8
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K,27, Self-emp-not-inc,33937, 9th,13, Separated,nan, Unmarried, White, Female,1165,2467,18, Mexico, >50K,2161.2000000000003
67,,212759, 10th,6, Married-civ-spouse,, Husband, White, Male,0,0,2, United-States, <=50K,88, Private,199209, Some-college,2, Married-spouse-absent, Other-service, Other-relative, Black, Male,15035,2143,7, Scotland, >50K,12308.0
18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K,80, Self-emp-inc,306588, Some-college,6, Separated, Farming-fishing, Wife, Asian-Pac-Islander, Male,16324,2362,50, Jamaica, <=50K,8734.0
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K,78, Without-pay,111223, Preschool,9, Separated,nan, Unmarried, Asian-Pac-Islander, Female,17310,620,35, England, >50K,13081.800000000001
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K,68, Self-emp-not-inc,454998, 12th,7, Never-married, Other-service, Wife, Amer-Indian-Eskimo, Male,1219,1441,67,nan, <=50K,4366.8
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K,56, State-gov,277592, 12th,12, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,4370,395,82, Portugal, >50K,2361.0
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K,66, Without-pay,69523, Some-college,9, Married-spouse-absent, Priv-house-serv, Not-in-family, Other, Male,29487,26,48, Dominican-Republic, <=50K,18983.2
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K,81,nan,153398, Prof-school,7, Never-married, Sales, Unmarried, Other, Male,21894,567,69, El-Salvador, <=50K,11621.6
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K,21, Private,348062, 10th,2, Separated, Protective-serv, Wife, Other, Male,16094,152,14, Germany, >50K,2575.8
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States, <=50K,72, Self-emp-inc,354737, Some-college,9, Married-civ-spouse, Tech-support, Unmarried, White, Male,409,562,81, Portugal, >50K,3812.8
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K,82, Private,272356, Assoc-voc,4, Married-spouse-absent, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,32353,2334,58, Poland, >50K,15550.2
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K,87, Federal-gov,203781, 12th,2, Married-spouse-absent, Machine-op-inspct, Unmarried, Other, Female,6447,1611,72, Guatemala, <=50K,3955.2000000000003
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K,59, Federal-gov,27232, Preschool,6, Married-AF-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,4240,1301,69, South, >50K,13085.6
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K,57, Federal-gov,435043, 1st-4th,9, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,20872,87,14, Peru, <=50K,18081.6
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,30, Without-pay,255652, 10th,6, Married-AF-spouse, Priv-house-serv, Unmarried, White, Male,3387,1530,83, Honduras, >50K,4271.0
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K,72, Local-gov,259224, 9th,7, Married-spouse-absent, Armed-Forces, Unmarried, White, Male,28618,702,66, Italy, >50K,22760.2
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States, <=50K,81, State-gov,207774, Prof-school,8, Never-married,nan, Not-in-family, Other, Male,21062,1012,5, Columbia, <=50K,10780.0
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35,, <=50K,82, Local-gov,117046, Preschool,8, Never-married,nan, Wife, White, Female,21498,486,46, England, >50K,9344.2
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K,22,nan,221951, 9th,11, Married-civ-spouse, Craft-repair, Own-child, White, Male,1112,487,44, Honduras, <=50K,2388.4
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K,52, Local-gov,115875, Doctorate,7, Married-spouse-absent, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,8441,452,90, Scotland, <=50K,3703.2000000000003
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K,72, Local-gov,196297, 12th,6, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,3692,1225,6, Honduras, >50K,3794.4
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K,80, State-gov,208608, 12th,14, Married-spouse-absent,nan, Not-in-family, Other, Male,26053,445,79, Germany, >50K,13004.600000000002
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K,38, Federal-gov,169365, Assoc-voc,7, Married-AF-spouse, Machine-op-inspct, Husband, White, Male,28882,1369,84, Iran, >50K,12820.8
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K,78, Federal-gov,229971, 11th,5, Married-civ-spouse, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,12608,673,51, Scotland, >50K,13116.2
