age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,sample_id,counterfactual_found
86, Private,192758, Bachelors,10, Separated, Sales, Unmarried, Black, Male,2928,55,24, Poland, >50K,20,1
79, Self-emp-inc,316346, 12th,6, Married-civ-spouse, Sales, Husband, Other, Male,34036,890,51, Vietnam, >50K,21,1
63, Local-gov,94252, 9th,7, Married-AF-spouse, Exec-managerial, Other-relative, White, Male,8704,716,54, Trinadad&Tobago, <=50K,22,1
60, Federal-gov,141676, Some-college,8, Married-AF-spouse, Priv-house-serv, Not-in-family, Other, Male,4278,2281,4, Jamaica, >50K,23,1
48, Federal-gov,109306, Doctorate,5, Married-AF-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Male,22132,1560,54, South, <=50K,24,1
21, Self-emp-inc,216589, 1st-4th,13, Married-spouse-absent, Sales, Own-child, Amer-Indian-Eskimo, Male,6466,1869,99, Cambodia, >50K,25,1
88, State-gov,149634, Prof-school,9, Widowed, Farming-fishing, Wife, Other, Male,19366,1966,37, France, >50K,26,1
70, Self-emp-not-inc,184855, Some-college,16, Married-AF-spouse, Sales, Husband, Other, Female,714,567,77, Columbia, <=50K,27,1
81, Federal-gov,407950, Assoc-voc,8, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Female,3474,509,45, Italy, >50K,28,1
70, Self-emp-not-inc,189172, 10th,2, Married-AF-spouse, Protective-serv, Own-child, Black, Male,294,1042,70, Haiti, <=50K,29,1
83, Private,189983, 10th,6, Married-spouse-absent, Tech-support, Own-child, Amer-Indian-Eskimo, Male,23355,535,31, Trinadad&Tobago, <=50K,30,1
64,nan,278757, 5th-6th,6, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,14646,1158,50, Mexico, >50K,31,1
80, Federal-gov,391382, HS-grad,2, Married-civ-spouse, Adm-clerical, Wife, Black, Male,9996,1600,88, Trinadad&Tobago, >50K,32,1
63,nan,68708, Bachelors,9, Married-spouse-absent, Transport-moving, Other-relative, White, Female,30561,41,37, Germany, <=50K,33,1
87, Local-gov,307057, 9th,7, Separated, Craft-repair, Other-relative, Asian-Pac-Islander, Male,2703,878,6, Scotland, >50K,34,1
81, Self-emp-inc,246950, Preschool,8, Never-married, Prof-specialty, Unmarried, Other, Male,14386,2200,19, Portugal, <=50K,35,1
79, Self-emp-not-inc,150654, Masters,2, Married-spouse-absent, Transport-moving, Husband, White, Male,4461,2158,79, Dominican-Republic, >50K,36,1
73, Local-gov,535552, 9th,7, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,20362,564,37, Thailand, <=50K,37,1
70, Self-emp-inc,99856, Some-college,9, Separated, Protective-serv, Wife, Black, Female,7665,809,56, Mexico, >50K,38,1
57, Without-pay,274330, 7th-8th,4, Married-spouse-absent, Adm-clerical, Other-relative, White, Female,976,46,29, Germany, <=50K,39,1
61, Without-pay,514217, Some-college,9, Married-spouse-absent,nan, Own-child, White, Female,5624,815,48, Mexico, <=50K,40,1
36,nan,87247, Masters,8, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,278,2270,35, El-Salvador, <=50K,41,1
80, Self-emp-not-inc,158535, 5th-6th,5, Never-married, Sales, Other-relative, White, Male,6040,809,68, Columbia, >50K,42,1
79, Local-gov,133060, 11th,16, Married-spouse-absent, Transport-moving, Wife, Black, Male,16692,978,62, Thailand, >50K,43,1
64, Local-gov,300947, Assoc-voc,7, Married-civ-spouse, Other-service, Other-relative, Black, Male,7544,1771,85, Poland, >50K,44,1
17, Without-pay,335935, 5th-6th,6, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,9105,195,73, Scotland, <=50K,45,1
88, Self-emp-not-inc,115388, 11th,17, Married-spouse-absent, Sales, Wife, White, Male,21889,975,19,nan, <=50K,46,1
67, Private,75164, Assoc-voc,5, Married-spouse-absent,nan, Unmarried, Asian-Pac-Islander, Male,3936,1810,35, Philippines, >50K,47,1
90, Local-gov,106599, Masters,6, Never-married, Prof-specialty, Other-relative, White, Male,39728,1499,57, Germany, <=50K,48,1
68, Self-emp-not-inc,305436, 7th-8th,7, Married-civ-spouse, Armed-Forces, Wife, Amer-Indian-Eskimo, Male,1128,1526,13, Taiwan, >50K,49,1
88, Self-emp-inc,39489, 10th,9, Separated, Sales, Own-child, White, Male,3641,772,48, Vietnam, <=50K,50,1
72, State-gov,213336, Bachelors,9, Married-spouse-absent, Sales, Unmarried, Black, Female,28517,1776,27, United-States, <=50K,51,1
21,nan,50882, Prof-school,7, Never-married, Priv-house-serv, Not-in-family, Other, Female,1302,1955,54, Trinadad&Tobago, >50K,52,1
20,nan,247321, 11th,2, Separated, Protective-serv, Not-in-family, Black, Male,1250,1171,41, El-Salvador, <=50K,53,1
41, Local-gov,112706, Bachelors,5, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2977,2062,77, Poland, <=50K,54,1
88, Federal-gov,252099, 1st-4th,5, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male,2910,1801,62, Outlying-US(Guam-USVI-etc), <=50K,55,1
56, Self-emp-not-inc,212479, 10th,6, Married-civ-spouse, Other-service, Wife, Other, Male,8634,1833,26, United-States, <=50K,56,1
73, Private,56174, Preschool,8, Never-married, Prof-specialty, Not-in-family, Other, Male,17099,460,61, India, <=50K,57,1
65, Self-emp-inc,145658, 7th-8th,13, Never-married, Craft-repair, Wife, Other, Female,887,1954,32, Guatemala, <=50K,58,1
74, Self-emp-inc,181245, Some-college,6, Separated, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Male,13588,466,5, Jamaica, <=50K,59,1
87, Local-gov,56902, Assoc-acdm,16, Married-AF-spouse,nan, Own-child, Asian-Pac-Islander, Female,62,95,28, Hong, >50K,60,1
60, Private,281282, 1st-4th,9, Divorced, Craft-repair, Not-in-family, White, Male,4079,486,33, Nicaragua, <=50K,61,1
80, Self-emp-inc,117926, Assoc-voc,9, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Female,2621,1833,25, Scotland, <=50K,62,1
56, Self-emp-inc,112512, 10th,6, Widowed, Other-service, Wife, Other, Male,1960,1817,73, Cuba, <=50K,63,1
62, Local-gov,86645, 10th,4, Married-civ-spouse, Armed-Forces, Not-in-family, Asian-Pac-Islander, Female,5100,1668,57, United-States, >50K,64,1
78, Private,140525, Bachelors,6, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,6635,2030,40, Poland, >50K,65,1
72, Federal-gov,197987, Assoc-acdm,4, Married-civ-spouse, Priv-house-serv, Own-child, Asian-Pac-Islander, Male,29012,34,99, Thailand, <=50K,66,1
24, State-gov,170109, 12th,12, Never-married, Other-service, Own-child, White, Female,4420,2232,27, Dominican-Republic, <=50K,67,1
80, Local-gov,191447, Doctorate,12, Married-spouse-absent, Transport-moving, Own-child, Other, Male,742,2108,13, France, >50K,68,1
55,nan,224122, 11th,4, Married-AF-spouse, Tech-support, Not-in-family, Other, Male,5842,2454,70, Guatemala, >50K,69,1
78, Local-gov,84640, Assoc-voc,9, Married-spouse-absent, Priv-house-serv, Husband, Amer-Indian-Eskimo, Male,15494,1064,7, Mexico, <=50K,70,1
69, Private,305356, Assoc-acdm,9, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,43338,371,2, South, <=50K,71,1
60, Private,149199, 5th-6th,8, Married-AF-spouse, Exec-managerial, Own-child, Other, Male,19930,2449,3, United-States, >50K,72,1
51, Private,208214, 5th-6th,9, Married-AF-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Female,24990,861,40, Jamaica, <=50K,73,1
83, State-gov,104500, Doctorate,8, Married-AF-spouse,nan, Husband, White, Male,2108,1177,59, Yugoslavia, <=50K,74,1
34, Federal-gov,214174, Assoc-acdm,9, Divorced, Prof-specialty, Other-relative, Black, Male,32098,117,54, Trinadad&Tobago, <=50K,75,1
19, Local-gov,34384, Doctorate,13, Married-civ-spouse, Armed-Forces, Unmarried, Amer-Indian-Eskimo, Male,540,2358,52, El-Salvador, <=50K,76,1
65, Federal-gov,243854, Assoc-acdm,6, Married-spouse-absent, Other-service, Husband, Other, Male,29502,432,85, South, <=50K,77,1
67, Self-emp-not-inc,310539, 9th,2, Married-spouse-absent, Handlers-cleaners, Wife, Other, Female,12441,1809,40, Yugoslavia, <=50K,78,1
84, Local-gov,144313, 5th-6th,3, Married-spouse-absent,nan, Other-relative, Asian-Pac-Islander, Male,18480,1881,56, Poland, >50K,79,1
85, Self-emp-not-inc,458915, 7th-8th,5, Married-civ-spouse, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,2116,1999,37, South, >50K,80,1
27, Private,266607, Bachelors,15, Married-spouse-absent, Transport-moving, Other-relative, Other, Male,1090,142,72, Puerto-Rico, <=50K,81,1
76, Private,57890, 1st-4th,12, Married-spouse-absent, Transport-moving, Unmarried, Black, Male,30122,319,55,nan, <=50K,82,1
68, Local-gov,183462, 12th,17, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,24222,2408,77, Taiwan, <=50K,83,1
71, Federal-gov,340242, 5th-6th,12, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,12703,669,86, Cambodia, >50K,84,1
76, Local-gov,354872, Masters,5, Never-married, Farming-fishing, Unmarried, White, Male,5833,1868,55, Honduras, >50K,85,1
86, Federal-gov,255434, Doctorate,8, Married-AF-spouse, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,40696,507,50, Philippines, >50K,86,1
35, State-gov,201561, 11th,9, Married-spouse-absent,nan, Own-child, Black, Male,1607,655,40, France, >50K,87,1
85, Self-emp-not-inc,79248, Assoc-acdm,9, Never-married,nan, Unmarried, Amer-Indian-Eskimo, Male,15226,434,15, Mexico, <=50K,88,1
76,nan,416243, Doctorate,8, Widowed,nan, Husband, Black, Male,7892,2486,7, Germany, <=50K,89,1
41, Self-emp-not-inc,253210, 7th-8th,8, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,1933,738,39, Trinadad&Tobago, >50K,90,1
49, Local-gov,320852, Preschool,9, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,18375,376,36, Peru, <=50K,91,1
60,nan,184310, Assoc-voc,6, Married-civ-spouse, Transport-moving, Husband, Black, Male,13344,1958,61, Philippines, <=50K,92,1
89, Without-pay,131495, 7th-8th,9, Married-AF-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,46384,345,99,nan, <=50K,93,1
71, Local-gov,224269, 11th,5, Widowed, Tech-support, Not-in-family, Black, Male,192,2147,8, Laos, <=50K,94,1
68, State-gov,120234, Prof-school,3, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,42376,2431,82, Puerto-Rico, >50K,95,1
28,nan,193090, 9th,8, Married-spouse-absent, Priv-house-serv, Wife, Amer-Indian-Eskimo, Female,7285,1754,60, Taiwan, <=50K,96,1
64, Local-gov,167574, Doctorate,7, Married-spouse-absent, Adm-clerical, Wife, Black, Female,20256,1037,51, Thailand, >50K,97,1
82, Without-pay,146976, 7th-8th,6, Separated, Sales, Wife, Black, Male,21552,338,34, Puerto-Rico, <=50K,98,1
68, Local-gov,301433, 12th,9, Married-spouse-absent, Protective-serv, Other-relative, Other, Male,6535,1829,72, Japan, >50K,99,1
